Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,PM10,08/01/2020 00:00,19.20000,ug/m3,P
BL0,PM10,09/01/2020 00:00,9.10000,ug/m3,P
BL0,PM10,10/01/2020 00:00,10.70000,ug/m3,P
BL0,PM10,11/01/2020 00:00,12.90000,ug/m3,P
BL0,PM10,12/01/2020 00:00,7.10000,ug/m3,P
BL0,PM10,13/01/2020 00:00,,ug/m3,P
BL0,PM10,14/01/2020 00:00,,ug/m3,P
BL0,PM10,15/01/2020 00:00,,ug/m3,P
BL0,PM10,16/01/2020 00:00,,ug/m3,P
BL0,PM10,17/01/2020 00:00,,ug/m3,P
BL0,PM10,18/01/2020 00:00,14.80000,ug/m3,P
BL0,PM10,19/01/2020 00:00,17.50000,ug/m3,P
BL0,PM10,20/01/2020 00:00,33.50000,ug/m3,P
BL0,PM10,21/01/2020 00:00,38.10000,ug/m3,P
BL0,PM10,22/01/2020 00:00,,ug/m3,P
BL0,PM10,23/01/2020 00:00,,ug/m3,P
BL0,PM10,24/01/2020 00:00,19.10000,ug/m3,P
BL0,PM10,25/01/2020 00:00,26.20000,ug/m3,P
BL0,PM10,26/01/2020 00:00,21.40000,ug/m3,P
BL0,PM10,27/01/2020 00:00,9.60000,ug/m3,P
BL0,PM10,28/01/2020 00:00,7.70000,ug/m3,P
BL0,PM10,29/01/2020 00:00,13.90000,ug/m3,P
BL0,PM10,30/01/2020 00:00,9.80000,ug/m3,P
BL0,PM10,31/01/2020 00:00,5.20000,ug/m3,P
